pays,Accès électricité (%),Accès Internet (%),PIB par habitant (USD),Accès eau potable (%),Mortalité accidents route (pour 100k),Revenu moyen/habitant ($/jour),Espérance de vie (années),Arrivées touristes internationaux,date_maj
AGO,51.1,44.7581,2916.13663284275,67.2244252588497,26.1,,64.617,218000.0,2026-03-23
ALB,100.0,83.1356,9730.86921906893,95.107207538325,11.7,14.85,79.602,2658000.0,2026-03-23
ARE,100.0,100.0,49850.6872175164,99.9999970727207,8.9,78.78,82.909,8084000.0,2026-03-23
ARG,100.0,89.229,14261.8465667948,99.0413738458383,14.1,27.9,77.395,7399000.0,2026-03-23
ASM,,,18017.4589383973,100.0,,,72.852,899.999976158142,2026-03-23
AUS,100.0,97.0631,65058.3773146674,99.9696841388095,4.9,70.3,83.0512195121951,1828000.0,2026-03-23
AUT,100.0,95.3347,56579.504175468,100.0,4.9,81.63,81.5414634146342,15091000.0,2026-03-23
AZE,100.0,89.0,7133.02838048328,96.8490385896936,6.7,,74.429,796000.0,2026-03-23
BDI,11.6,11.0784,250.627253097255,65.8069881708757,35.5,,63.651,299000.0,2026-03-23
BEL,100.0,94.6263,55291.4754541329,99.9999973101139,5.8,69.92,82.3975609756098,2584000.0,2026-03-23
BEN,57.0,32.2083,1394.17784721831,69.2752913846942,26.8,5.27,60.774,337000.0,2026-03-23
BGD,99.5,44.5027,2551.01773827307,98.6816683567859,15.3,5.62,74.672,323000.0,2026-03-23
BGR,100.0,80.3896,15853.208636704,99.2017331871692,9.2,39.41,75.7073170731707,4973000.0,2026-03-23
BHR,100.0,100.0,29290.1284215098,99.9198990209829,5.2,,81.284,1909000.0,2026-03-23
BIH,100.0,83.3772,8663.02326458629,96.0981021077665,13.5,,77.85,197000.0,2026-03-23
BLR,100.0,91.5125,7896.75388295584,99.8755846398108,7.6,20.55,74.1837804878049,3598000.0,2026-03-23
BLZ,99.6,72.3595,7424.75821321022,94.8298821080115,22.6,,73.566,487000.0,2026-03-23
BMU,100.0,98.37,132604.439086216,100.0,,,82.309,51400.0015258789,2026-03-23
BOL,99.8,70.2368,4274.70820547613,92.9647725892341,21.1,22.93,68.581,323299.987792969,2026-03-23
BRA,99.8,84.1506,10377.5897719195,99.8980595100623,16.0,25.53,75.848,6353000.0,2026-03-23
BRB,100.0,79.9923,25583.878782727,99.1626347450814,8.2,,76.178,966000.0,2026-03-23
BTN,100.0,88.426,3831.32535494609,99.4298614038042,16.2,12.34,72.975,29799.9992370605,2026-03-23
BWA,76.0,81.36,7826.35376483298,91.7236550803662,26.4,11.1,69.163,1830000.0,2026-03-23
CAN,100.0,93.9564,54220.3285039875,98.2905039744417,5.3,77.73,81.6465853658537,32430000.0,2026-03-23
CHE,100.0,97.3444,100623.549627296,100.0,2.2,87.39,84.0560975609756,11818000.0,2026-03-23
CHL,100.0,94.4574,17067.0364799154,98.9890250912798,14.9,32.77,81.167,5431000.0,2026-03-23
CHN,100.0,90.6,12951.1782397043,96.0883413082236,17.4,17.13,77.953,30402000.0,2026-03-23
CIV,72.4,40.6528,2591.9659048119,76.9878854497263,24.1,6.07,61.944,668000.0,2026-03-23
CMR,72.0,41.9088,1720.47510154506,70.7167101481695,30.2,7.34,63.7,1021000.0,2026-03-23
COG,51.3,38.3791,2477.97845544866,73.4884211673414,29.7,5.8,65.772,158000.0,2026-03-23
COL,98.7,77.3369,7000.83660501046,96.9496589659827,15.4,14.56,77.725,1396000.0,2026-03-23
COM,89.8,35.6678,1560.27378476855,85.1575256557465,26.6,,66.777,7000.0,2026-03-23
CPV,98.6,73.539,4794.90121917259,91.14605423466,26.8,,76.059,180000.0,2026-03-23
CRI,100.0,85.3951,16942.0268119375,99.8143035929016,14.8,27.98,80.799,1146500.0,2026-03-23
CUB,100.0,71.275,9605.27914559614,95.0236345510277,8.9,,78.085,1086000.0,2026-03-23
CYP,100.0,91.2211,36623.69140625,99.7210789435355,5.8,63.38,81.648,4117000.0,2026-03-23
CZE,100.0,85.994,31761.5944102491,98.7336065681001,5.9,43.35,79.8780487804878,37202000.0,2026-03-23
DEU,100.0,92.4764,54776.7668235491,99.9999970615884,3.8,79.63,80.5414634146342,12449000.0,2026-03-23
DMA,100.0,83.8255,9912.96212766668,96.8915616749148,10.9,,71.132,140000.0,2026-03-23
DNK,100.0,98.7756,68043.5466971243,99.9999977179038,3.7,72.67,81.8536585365854,15595000.0,2026-03-23
DOM,99.6,84.6161,10630.431743829,97.4107460357747,64.6,20.57,73.72,2748000.0,2026-03-23
ECU,98.7,72.6943,6737.84748379638,91.8598075666082,20.1,18.18,77.392,2108000.0,2026-03-23
EGY,100.0,72.6899,3456.78968456253,97.3651944677444,10.1,9.03,71.633,13026000.0,2026-03-23
ESP,100.0,95.4456,33493.2225409111,99.9249297229504,3.9,54.85,83.8829268292683,36410000.0,2026-03-23
EST,100.0,93.1834,30264.0064885057,100.0,4.5,43.8,78.490243902439,1695000.0,2026-03-23
FIN,100.0,93.5139,52834.2916752703,99.9999988667298,3.9,64.46,81.6853658536585,896000.0,2026-03-23
FJI,99.3,79.3485,5926.20586394763,95.5237842457223,13.5,11.56,67.316,168000.0,2026-03-23
FRA,100.0,86.8364,44700.1384177544,100.0,5.1,66.8,82.9292682926829,117109000.0,2026-03-23
GAB,94.1,71.9256,7802.82433276138,88.479261326667,23.9,,68.337,,2026-03-23
GBR,100.0,96.2988,49944.4702124201,100.0,3.2,64.32,81.2380975609756,11101000.0,2026-03-23
GEO,100.0,81.8843,8283.66960652261,97.1538358776458,12.4,8.52,74.496,1513000.0,2026-03-23
GHA,89.5,69.9445,2383.90410483418,88.8910495956232,25.7,5.07,65.498,897000.0,2026-03-23
GMB,66.9,45.9137,883.024111719809,86.7155739795785,29.6,6.47,65.86,246000.0,2026-03-23
GNQ,66.9,60.3661,6677.793435386,64.6658128879178,27.2,,63.707,,2026-03-23
GRC,100.0,85.0102,23343.7103964562,99.9999984078161,8.3,34.24,81.5365853658537,7406000.0,2026-03-23
GRD,94.4,74.1201,11414.4781691181,95.6286504435547,8.0,,75.205,217000.0,2026-03-23
GRL,100.0,69.4825,58498.9707973609,100.0,,,71.549756097561,,2026-03-23
GTM,100.0,56.0535,5758.32760847852,92.9701335518689,22.9,,72.602,594000.0,2026-03-23
GUY,98.9,81.7221,20473.7002190617,95.644614726529,22.3,,70.18,86400.0015258789,2026-03-23
HKG,100.0,95.9778,50562.3633144379,100.0,,,85.2473170731707,3569000.0,2026-03-23
HRV,100.0,83.2412,22184.2279304842,99.9028641950813,7.9,41.35,78.4731707317073,21608000.0,2026-03-23
HUN,100.0,91.4501,22230.6277875187,100.0,7.7,24.82,76.7707317073171,31641000.0,2026-03-23
IDN,99.4,69.2084,4876.30774512252,89.3578482222748,11.3,7.51,71.146,4053000.0,2026-03-23
IND,99.5,55.9,2530.12031278204,95.0740565981493,15.6,,72.003,17914000.0,2026-03-23
IRL,100.0,96.4974,106818.917130804,97.0814633122255,3.1,59.16,82.8609756097561,10951000.0,2026-03-23
IRN,100.0,79.6309,5049.29931642754,97.742552873025,21.5,12.78,77.654,1550000.0,2026-03-23
ISL,100.0,99.8301,82138.7892973557,100.0,2.0,68.33,82.6073170731707,488000.0,2026-03-23
ITA,100.0,87.0278,39277.0838783918,99.9170340740928,5.3,57.51,83.7,38419000.0,2026-03-23
JAM,97.7,89.473,7542.40084275345,87.895030779808,15.1,18.94,71.479,1329699.95117188,2026-03-23
JOR,100.0,92.5344,4466.08314208575,99.2577307145329,17.0,17.33,77.814,1240000.0,2026-03-23
JPN,100.0,86.9815,33836.1756271617,99.1831679675454,3.6,48.11,84.0412195121951,4115799.8046875,2026-03-23
KAZ,100.0,92.8785,12879.4275257974,97.8328139720823,12.7,15.09,74.402,2035000.0,2026-03-23
KEN,76.2,35.0,1942.58802756191,64.7820788557808,28.3,4.34,63.646,2049000.0,2026-03-23
KGZ,100.0,88.4701,2138.22210211478,94.3000416733557,12.7,7.39,72.2487804878049,8508000.0,2026-03-23
KHM,95.0,60.7171,2429.74853452838,81.8888688771299,19.6,,70.668,1306000.0,2026-03-23
KNA,100.0,76.4208,22576.9248439166,98.6118541324065,,,72.145,301399.993896484,2026-03-23
KOR,100.0,97.416,35674.095995632,99.979971635449,8.6,64.39,83.4292682926829,2519000.0,2026-03-23
KWT,100.0,99.7473,34075.849012909,100.0,15.4,,83.1878048780488,2161000.0,2026-03-23
LAO,96.5,63.6255,2066.94979776957,92.6257164263436,17.9,7.21,68.964,886400.024414063,2026-03-23
LCA,100.0,70.0834,13554.7684784933,98.0966876683617,29.8,,72.697,432500.0,2026-03-23
LKA,100.0,51.2,3798.89016573011,90.1950284141998,19.7,10.58,77.483,540000.0,2026-03-23
LSO,57.3,47.991,916.282976983803,77.481451488906,31.9,,57.375,1142000.0,2026-03-23
LTU,100.0,88.5029,27786.0057829276,99.9175659134354,8.1,46.53,76.9878048780488,2284000.0,2026-03-23
LUX,100.0,99.3479,133230.619178899,99.9999993622078,4.1,106.1,83.3585365853659,525000.0,2026-03-23
LVA,100.0,92.1879,22710.2637544197,98.7373706487975,8.1,40.02,75.6780487804878,3204000.0,2026-03-23
MAR,100.0,91.0,3813.72607421875,91.2311035579693,17.0,,75.313,2802000.0,2026-03-23
MCO,100.0,99.1497,256799.788612806,100.0,0.0,,86.372,159000.0,2026-03-23
MDA,100.0,80.2126,6799.58594644576,92.2745583834246,7.3,13.53,71.198,29000.0,2026-03-23
MDG,39.4,20.3671,508.718427705591,54.4969430342798,29.2,,63.632,87099.9984741211,2026-03-23
MDV,100.0,84.6851,12587.6126038651,99.7301882656937,1.6,,81.041,555000.0,2026-03-23
MEX,99.7,81.1832,13860.9597809326,99.4095196134934,12.8,17.82,75.069,51128000.0,2026-03-23
MKD,100.0,87.1819,8674.35846327485,98.1866858659348,5.1,17.22,75.3160975609756,118000.0,2026-03-23
MLT,100.0,92.0727,40905.8059585057,100.0,4.1,65.45,83.5073170731707,718000.0,2026-03-23
MMR,76.8,58.5357,1233.19666209269,85.6324592259364,20.4,6.54,66.889,903000.0,2026-03-23
MNE,100.0,89.8052,12259.8775034436,99.2810967659846,7.6,20.64,77.5878048780488,351000.0,2026-03-23
MNG,100.0,83.0162,5838.63108083902,85.311512645746,21.0,11.49,72.1224390243902,66900.0015258789,2026-03-23
MOZ,36.0,19.8434,622.000297682823,64.5157588929919,30.0,2.38,63.611,2033000.0,2026-03-23
MUS,100.0,79.5,11269.9684462139,99.9024122575049,12.2,17.52,73.4121951219512,316000.0,2026-03-23
MWI,15.6,17.9881,633.214767978695,72.2285522528925,33.4,2.59,67.353,871000.0,2026-03-23
MYS,100.0,97.6927,11386.0395636528,97.8919385183286,22.5,39.7,76.657,4333000.0,2026-03-23
NAM,56.7,64.4061,4187.60500396525,86.1410432483345,34.8,12.72,67.385,187100.006103516,2026-03-23
NCL,100.0,82.0058,33701.8923322781,99.5386729881695,,,78.766,31000.0,2026-03-23
NIC,88.3,58.2314,2609.44492072931,,16.9,12.91,74.947,474000.0,2026-03-23
NLD,100.0,97.0068,63515.6030780019,100.0,4.0,75.5,81.9146341463415,7265000.0,2026-03-23
NOR,100.0,99.0,87497.2179649556,99.9999954349429,2.1,86.74,83.1121951219512,1397000.0,2026-03-23
NPL,94.0,55.7716,1382.33055769304,93.1169638221139,16.3,,70.354,230000.0,2026-03-23
NZL,100.0,96.1638,49075.9562832927,99.999999971682,9.6,,83.0048780487805,996000.0,2026-03-23
OMN,100.0,95.2517,21027.7384778886,92.559888964675,10.6,,80.031,869000.0,2026-03-23
PAK,95.6,27.3759,1360.32417758419,90.6815872292919,13.0,5.43,67.649,966000.0,2026-03-23
PAN,97.0,68.5485,18797.1933994045,95.0598439257546,13.9,30.37,79.594,647000.0,2026-03-23
PER,96.2,79.4848,7887.54185920108,95.0719233240551,13.6,15.06,77.74,1119000.0,2026-03-23
PHL,98.0,83.7661,3804.08274131097,95.465506033898,12.0,9.93,69.833,1483000.0,2026-03-23
PLW,100.0,,15610.8231931032,99.5299685485284,4.78,,69.269,18399.9996185303,2026-03-23
PNG,20.5,24.0667,2966.06830432055,52.3359168793014,12.6,,66.134,39000.0,2026-03-23
POL,100.0,86.4147,22145.2660647429,90.648484121514,9.4,44.05,78.5073170731707,88515000.0,2026-03-23
PRI,100.0,87.2918,36980.7884784287,100.0,,,81.69,3882000.0,2026-03-23
PRT,100.0,85.7901,27634.6183139773,99.2762210572337,8.2,41.07,82.2804878048781,4208000.0,2026-03-23
PRY,99.8,78.0948,6299.99026533713,99.6009612348131,22.0,18.2,73.844,1077000.0,2026-03-23
PYF,100.0,72.7039,21832.2831795569,100.0,,,84.07,89400.0015258789,2026-03-23
QAT,100.0,99.6528,81816.9797967481,99.9889721417312,7.3,,82.368,582000.0,2026-03-23
ROU,100.0,89.2034,18244.4186876321,99.9999974664564,10.3,32.66,76.6073170731707,5023000.0,2026-03-23
RUS,100.0,92.245,14159.3876953125,96.8670125138165,12.0,41.11,73.2546341463415,6359000.0,2026-03-23
RWA,63.9,34.2005,1027.03446826565,60.8290423575481,29.4,3.5,67.785,1634000.0,2026-03-23
SEN,74.2,60.6122,1698.03387300843,86.915566820325,23.5,6.51,68.683,1376000.0,2026-03-23
SGP,100.0,94.2852,85412.230345235,100.0,2.1,,82.8951219512195,2742000.0,2026-03-23
SLB,81.3,42.4597,1882.64394148042,71.4884718815892,16.5,,70.528,4400.00009536743,2026-03-23
SLE,35.5,20.635,758.329137378248,66.9139758718619,33.0,4.41,61.786,71000.0,2026-03-23
SLV,98.3,67.6558,5365.44491399171,91.1548543157466,20.9,15.46,72.099,707000.0,2026-03-23
SMR,100.0,87.0278,59879.7173015651,99.9999988818718,0.0,,85.706,1904000.0,2026-03-23
SRB,100.0,85.3575,12281.707946167,95.4072534956029,7.5,21.97,76.2209756097561,446000.0,2026-03-23
STP,81.3,61.4607,2990.6606143535,77.7627440176423,27.9,,69.718,33400.0015258789,2026-03-23
SUR,99.6,78.3958,5521.97602122638,97.9952348294942,15.3,,73.631,279000.0,2026-03-23
SVK,100.0,87.2131,24614.8734642794,99.7866473599926,6.1,25.45,78.0170731707317,15299000.0,2026-03-23
SVN,100.0,90.3779,32660.4753581346,99.5745942010052,5.1,54.71,81.9780487804878,1216000.0,2026-03-23
SWE,100.0,95.7033,54950.2834725622,99.7602354276088,3.1,62.83,83.309756097561,1957000.0,2026-03-23
SWZ,86.4,57.62,3755.52111232464,79.1563791861863,33.5,6.45,64.123,345299.987792969,2026-03-23
SYC,100.0,87.4009,18262.7115849287,97.5539573025066,11.3,23.97,74.9585365853659,124500.0,2026-03-23
TCA,100.0,,35470.2151608295,98.8184607523226,,,78.008,370399.993896484,2026-03-23
TGO,59.2,37.0223,1055.01727877926,63.7824051013865,28.7,5.06,62.739,482000.0,2026-03-23
THA,100.0,89.5353,7195.10130919449,100.0,32.2,20.38,76.412,39916000.0,2026-03-23
TJK,100.0,56.791,1178.47990060249,89.1684391081177,15.7,6.96,71.79,1035000.0,2026-03-23
TKM,100.0,21.251,6231.91323839698,99.9281577562761,13.5,,70.073,,2026-03-23
TON,100.0,58.5334,5651.59373063157,98.8577319664238,33.0,9.33,72.895,94000.0,2026-03-23
TTO,98.7,84.6994,18308.4536298575,99.1203415064723,9.3,,73.49,141000.0,2026-03-23
TUN,100.0,72.3542,3951.11683376921,96.3377994591756,16.5,15.89,76.508,2012000.0,2026-03-23
TUR,100.0,85.9607,13375.0947282864,95.9784417716969,6.7,28.94,77.156,15971000.0,2026-03-23
TZA,48.3,29.0638,1224.00219726563,63.0660884066509,31.1,4.18,66.995,1527000.0,2026-03-23
UGA,51.5,15.2524,1002.30913917142,61.3115234168033,29.4,3.65,68.252,473000.0,2026-03-23
UKR,100.0,82.3755,5139.59814453125,93.517329658926,10.2,15.57,73.422,3382000.0,2026-03-23
URY,100.0,89.896,23019.4221560046,99.6172068539544,14.8,35.06,78.138,3480000.0,2026-03-23
USA,100.0,93.1444,81032.262117545,99.9804979047021,12.7,92.95,78.3853658536585,45037000.0,2026-03-23
UZB,100.0,89.0136,2878.96879292451,96.9565254047898,11.7,,72.388,6749000.0,2026-03-23
VEN,100.0,61.6,3617.43594578269,93.3316109894304,39.0,,72.514,429000.0,2026-03-23
VIR,100.0,64.3775,44320.909185774,99.4656802967685,,,80.519512195122,8612000.0,2026-03-23
VNM,99.8,78.08,4323.35031982451,98.160662651459,30.6,16.59,74.588,3837000.0,2026-03-23
VUT,61.6,45.7313,3482.61458237637,87.0544851579831,14.9,,71.477,82400.0015258789,2026-03-23
WSM,100.0,58.1386,4822.74084650019,98.9302348547362,13.0,,71.698,23899.9996185303,2026-03-23
XKX,,89.443,6221.20618847799,,,12.35,78.033,,2026-03-23
ZAF,87.7,75.6592,6034.27208964673,90.4386965804708,22.2,12.22,66.139,3886600.09765625,2026-03-23
ZMB,51.1,33.0,1330.72780576709,72.3590047817849,20.5,2.86,66.349,502000.0,2026-03-23
ZWE,62.0,38.4266,2195.22492079245,67.1849190325683,41.2,4.5,62.775,639000.0,2026-03-23
